age,amount,checking_balance,credit_history,default,dependents,employment_duration,existing_loans_count,gender,housing,job,months_loan_duration,other_credit,percent_of_income,phone,purpose,race,savings_balance,status,years_at_residence,zipcode
64.0,3848.0,1 - 200 USD,excellent,yes,2.0,< 1 year,2.0,M,rent,skilled,18.0,none,18.0,yes,furniture,SA,unknown,married,23.0,00631
31.0,5706.0,>= 200 USD,bad,no,3.0,> 7 years,0.0,M,other,management,8.0,none,4.0,no,furniture,SA,< 100 USD,divorced,5.0,00705
82.0,9235.0,< 0 USD,no credit,no,3.0,unknown,2.0,F,own,management,74.0,none,18.0,no,education,SA,100 - 500 USD,married,6.0,00605
19.0,6904.0,1 - 200 USD,no credit,no,3.0,3 - 5 years,0.0,F,rent,skilled,42.0,bank,6.0,no,business,CA,>1000 USD,divorced,13.0,00601
19.0,9376.0,>= 200 USD,bad,no,3.0,3 - 5 years,3.0,F,rent,skilled,58.0,stores,8.0,yes,business,SA,500 - 1000 USD,married,12.0,00631
72.0,8775.0,unknown,critical,yes,2.0,> 7 years,2.0,M,other,unskilled,45.0,bank,22.0,yes,car,BA,500 - 1000 USD,married,9.0,00602
84.0,7677.0,1 - 200 USD,no credit,yes,3.0,> 7 years,0.0,M,own,unskilled,54.0,bank,20.0,yes,car,SA,100 - 500 USD,divorced,20.0,00605
18.0,9871.0,unknown,critical,yes,1.0,1 - 3 years,0.0,F,rent,management,56.0,stores,13.0,no,car,SA,unknown,single,6.0,00604
18.0,8933.0,1 - 200 USD,no credit,no,2.0,3 - 5 years,2.0,F,other,skilled,69.0,bank,8.0,no,business,BA,unknown,single,19.0,00631
59.0,6199.0,1 - 200 USD,critical,yes,3.0,unknown,0.0,F,rent,unskilled,52.0,bank,21.0,yes,education,AA,500 - 1000 USD,single,22.0,00610
22.0,751.0,>= 200 USD,no credit,no,1.0,unknown,2.0,F,own,unskilled,33.0,bank,11.0,yes,education,BA,100 - 500 USD,single,17.0,00611
73.0,5966.0,unknown,bad,yes,1.0,3 - 5 years,0.0,M,own,none,8.0,stores,23.0,no,business,CA,100 - 500 USD,married,6.0,00705
53.0,6696.0,< 0 USD,critical,yes,1.0,> 7 years,1.0,M,other,none,18.0,bank,4.0,no,other,CA,500 - 1000 USD,single,11.0,00604
42.0,4549.0,>= 200 USD,no credit,yes,2.0,3 - 5 years,1.0,M,other,skilled,44.0,bank,3.0,no,furniture,BA,100 - 500 USD,divorced,3.0,00610
67.0,5545.0,1 - 200 USD,bad,yes,2.0,1 - 3 years,1.0,F,own,skilled,51.0,stores,13.0,no,other,CA,500 - 1000 USD,divorced,10.0,00612
21.0,2256.0,1 - 200 USD,good,no,3.0,unknown,0.0,M,other,none,65.0,stores,12.0,yes,education,AA,100 - 500 USD,single,2.0,00603
31.0,5726.0,1 - 200 USD,good,yes,3.0,1 - 3 years,0.0,M,own,skilled,57.0,stores,8.0,yes,other,SA,< 100 USD,divorced,13.0,00602
34.0,1332.0,< 0 USD,no credit,no,3.0,unknown,0.0,M,rent,skilled,49.0,bank,14.0,yes,education,AA,500 - 1000 USD,married,24.0,00611
69.0,3950.0,1 - 200 USD,bad,no,3.0,> 7 years,3.0,M,rent,unskilled,64.0,bank,8.0,no,business,BA,< 100 USD,divorced,4.0,00631
45.0,6444.0,>= 200 USD,critical,no,2.0,3 - 5 years,0.0,M,own,none,65.0,bank,12.0,no,education,CA,>1000 USD,single,8.0,00602
44.0,4118.0,unknown,critical,yes,1.0,> 7 years,1.0,F,own,management,12.0,bank,7.0,yes,other,SA,100 - 500 USD,single,19.0,00603
56.0,5309.0,unknown,critical,yes,3.0,1 - 3 years,0.0,F,rent,none,23.0,bank,17.0,yes,other,SA,100 - 500 USD,divorced,12.0,00705
80.0,5486.0,>= 200 USD,critical,yes,2.0,> 7 years,2.0,F,other,none,24.0,stores,2.0,yes,furniture,BA,500 - 1000 USD,married,3.0,00612
56.0,7294.0,< 0 USD,critical,yes,3.0,< 1 year,0.0,F,own,management,53.0,stores,6.0,yes,furniture,BA,< 100 USD,divorced,9.0,00612
42.0,7721.0,< 0 USD,critical,no,1.0,< 1 year,2.0,M,rent,management,24.0,bank,15.0,no,business,SA,100 - 500 USD,single,18.0,00705
44.0,1154.0,< 0 USD,bad,yes,3.0,1 - 3 years,1.0,F,own,none,14.0,none,20.0,no,other,AA,100 - 500 USD,single,11.0,00610
85.0,514.0,>= 200 USD,critical,yes,1.0,3 - 5 years,0.0,F,rent,unskilled,67.0,none,2.0,yes,education,CA,100 - 500 USD,divorced,8.0,00601
53.0,1944.0,>= 200 USD,good,yes,3.0,> 7 years,1.0,F,rent,management,44.0,bank,16.0,no,car,AA,unknown,single,21.0,00601
34.0,3116.0,>= 200 USD,bad,no,1.0,> 7 years,1.0,F,other,skilled,62.0,stores,25.0,yes,business,AA,< 100 USD,single,13.0,00601
37.0,4606.0,< 0 USD,no credit,yes,1.0,1 - 3 years,2.0,F,own,none,28.0,bank,3.0,no,furniture,AA,>1000 USD,married,19.0,00603
44.0,2918.0,< 0 USD,bad,yes,3.0,< 1 year,2.0,F,rent,unskilled,16.0,stores,18.0,no,car,BA,500 - 1000 USD,married,10.0,00611
73.0,835.0,>= 200 USD,no credit,no,3.0,1 - 3 years,3.0,M,own,skilled,29.0,none,11.0,no,other,BA,>1000 USD,married,3.0,00602
32.0,7630.0,< 0 USD,good,yes,3.0,3 - 5 years,3.0,F,rent,none,41.0,stores,3.0,no,other,SA,500 - 1000 USD,divorced,8.0,00612
44.0,6146.0,>= 200 USD,bad,yes,2.0,3 - 5 years,3.0,M,own,none,66.0,bank,6.0,no,furniture,CA,< 100 USD,single,6.0,00611
48.0,9375.0,unknown,no credit,yes,2.0,1 - 3 years,1.0,M,rent,none,70.0,stores,23.0,yes,other,AA,500 - 1000 USD,married,5.0,00604
30.0,2231.0,>= 200 USD,excellent,no,2.0,3 - 5 years,1.0,M,rent,unskilled,6.0,none,15.0,no,other,BA,unknown,divorced,20.0,00631
65.0,7673.0,1 - 200 USD,good,yes,3.0,unknown,0.0,F,other,management,53.0,none,1.0,no,other,AA,< 100 USD,single,5.0,00631
74.0,370.0,>= 200 USD,bad,no,3.0,1 - 3 years,3.0,M,own,skilled,5.0,stores,2.0,yes,furniture,BA,500 - 1000 USD,married,17.0,00602
23.0,5742.0,1 - 200 USD,excellent,yes,2.0,< 1 year,0.0,F,rent,management,20.0,bank,23.0,yes,business,BA,unknown,single,12.0,00602
53.0,3975.0,1 - 200 USD,bad,yes,2.0,< 1 year,3.0,M,own,skilled,11.0,none,23.0,no,education,SA,>1000 USD,married,23.0,00612
28.0,8161.0,unknown,no credit,yes,3.0,1 - 3 years,0.0,F,other,skilled,11.0,stores,15.0,yes,car,CA,unknown,divorced,21.0,00605
59.0,3587.0,unknown,bad,no,1.0,3 - 5 years,2.0,M,rent,skilled,41.0,bank,10.0,yes,car,AA,>1000 USD,married,12.0,00610
58.0,4701.0,< 0 USD,no credit,no,3.0,unknown,1.0,F,own,unskilled,16.0,none,17.0,yes,other,AA,500 - 1000 USD,single,15.0,00602
47.0,4935.0,1 - 200 USD,bad,no,3.0,> 7 years,1.0,M,rent,none,22.0,bank,20.0,no,business,BA,unknown,married,10.0,00612
71.0,9377.0,unknown,critical,yes,2.0,< 1 year,0.0,M,other,skilled,39.0,none,4.0,no,business,AA,< 100 USD,married,18.0,00705
44.0,2093.0,1 - 200 USD,bad,no,2.0,unknown,3.0,F,own,unskilled,57.0,stores,4.0,yes,other,AA,unknown,single,5.0,00601
78.0,765.0,< 0 USD,bad,no,3.0,1 - 3 years,0.0,M,rent,management,7.0,bank,18.0,no,education,BA,>1000 USD,divorced,12.0,00612
78.0,3247.0,unknown,bad,no,1.0,< 1 year,0.0,M,other,none,44.0,none,16.0,no,other,AA,500 - 1000 USD,divorced,14.0,00604
47.0,4380.0,unknown,excellent,no,2.0,1 - 3 years,1.0,F,other,none,15.0,none,20.0,no,business,BA,500 - 1000 USD,single,17.0,00610
70.0,828.0,>= 200 USD,bad,yes,3.0,< 1 year,0.0,F,other,unskilled,7.0,none,16.0,yes,car,SA,500 - 1000 USD,divorced,13.0,00705
21.0,2568.0,unknown,excellent,no,1.0,> 7 years,1.0,M,own,management,48.0,none,22.0,no,furniture,AA,100 - 500 USD,married,2.0,00605
18.0,315.0,>= 200 USD,critical,yes,2.0,3 - 5 years,1.0,F,other,none,11.0,none,16.0,yes,car,BA,500 - 1000 USD,divorced,8.0,00705
51.0,4144.0,>= 200 USD,bad,yes,2.0,unknown,0.0,F,rent,management,43.0,none,24.0,yes,car,BA,unknown,divorced,14.0,00604
57.0,1924.0,unknown,excellent,yes,3.0,< 1 year,2.0,M,other,none,59.0,none,16.0,no,furniture,SA,500 - 1000 USD,single,12.0,00601
30.0,1940.0,< 0 USD,good,yes,3.0,3 - 5 years,1.0,F,rent,skilled,2.0,bank,23.0,yes,education,BA,500 - 1000 USD,single,5.0,00631
53.0,2330.0,< 0 USD,excellent,yes,3.0,> 7 years,3.0,M,rent,unskilled,35.0,bank,5.0,yes,furniture,AA,< 100 USD,married,5.0,00611
52.0,2535.0,unknown,excellent,yes,2.0,3 - 5 years,1.0,M,own,unskilled,66.0,stores,13.0,no,education,BA,100 - 500 USD,divorced,1.0,00603
47.0,7194.0,1 - 200 USD,no credit,yes,2.0,1 - 3 years,0.0,F,other,unskilled,18.0,none,6.0,yes,other,SA,unknown,divorced,15.0,00612
44.0,3521.0,unknown,excellent,yes,2.0,> 7 years,3.0,M,rent,unskilled,53.0,bank,14.0,no,furniture,CA,500 - 1000 USD,single,15.0,00705
25.0,4326.0,< 0 USD,no credit,yes,1.0,3 - 5 years,1.0,F,rent,none,35.0,stores,8.0,yes,education,CA,< 100 USD,married,10.0,00604
76.0,786.0,1 - 200 USD,good,yes,3.0,3 - 5 years,0.0,F,own,skilled,3.0,stores,15.0,yes,business,SA,100 - 500 USD,single,11.0,00612
32.0,4850.0,1 - 200 USD,no credit,yes,3.0,< 1 year,3.0,M,own,unskilled,46.0,none,5.0,no,car,CA,unknown,divorced,3.0,00602
64.0,8104.0,1 - 200 USD,excellent,yes,1.0,unknown,3.0,M,rent,skilled,53.0,stores,1.0,no,furniture,CA,< 100 USD,divorced,15.0,00611
43.0,4784.0,>= 200 USD,critical,yes,1.0,< 1 year,2.0,M,own,unskilled,7.0,bank,2.0,no,education,CA,< 100 USD,married,14.0,00612
64.0,2124.0,>= 200 USD,no credit,yes,2.0,> 7 years,1.0,M,other,skilled,20.0,bank,25.0,no,education,CA,500 - 1000 USD,divorced,25.0,00601
61.0,2911.0,1 - 200 USD,bad,no,1.0,< 1 year,1.0,F,own,none,45.0,stores,8.0,no,other,SA,500 - 1000 USD,divorced,7.0,00602
67.0,6198.0,1 - 200 USD,bad,yes,2.0,1 - 3 years,1.0,F,rent,unskilled,17.0,stores,4.0,yes,other,BA,100 - 500 USD,married,24.0,00605
68.0,7370.0,unknown,bad,no,2.0,unknown,0.0,M,other,none,44.0,stores,24.0,no,other,CA,500 - 1000 USD,single,18.0,00605
61.0,9831.0,>= 200 USD,bad,yes,1.0,3 - 5 years,0.0,M,other,management,15.0,none,19.0,no,education,SA,100 - 500 USD,single,24.0,00604
78.0,2472.0,unknown,no credit,no,1.0,unknown,0.0,F,rent,unskilled,6.0,none,22.0,no,education,CA,500 - 1000 USD,single,5.0,00611
46.0,2075.0,< 0 USD,no credit,no,3.0,1 - 3 years,0.0,M,other,none,20.0,stores,14.0,yes,other,CA,100 - 500 USD,married,15.0,00611
26.0,9528.0,< 0 USD,critical,no,2.0,3 - 5 years,2.0,F,other,management,7.0,stores,10.0,no,education,AA,unknown,single,5.0,00602
18.0,297.0,1 - 200 USD,bad,no,1.0,unknown,3.0,F,own,unskilled,40.0,none,25.0,yes,car,SA,< 100 USD,married,8.0,00602
51.0,867.0,unknown,critical,no,2.0,< 1 year,0.0,M,own,unskilled,22.0,bank,11.0,yes,furniture,BA,unknown,divorced,16.0,00610
27.0,1316.0,>= 200 USD,critical,yes,2.0,1 - 3 years,2.0,M,rent,skilled,34.0,bank,7.0,yes,furniture,BA,>1000 USD,divorced,19.0,00705
56.0,853.0,unknown,bad,yes,1.0,> 7 years,2.0,M,other,unskilled,72.0,none,15.0,yes,business,SA,500 - 1000 USD,married,1.0,00602
39.0,2926.0,1 - 200 USD,critical,yes,1.0,1 - 3 years,2.0,F,own,skilled,62.0,bank,15.0,no,other,BA,500 - 1000 USD,single,25.0,00631
59.0,5489.0,unknown,good,no,2.0,1 - 3 years,0.0,M,other,skilled,47.0,none,2.0,no,car,AA,unknown,married,9.0,00602
62.0,6144.0,>= 200 USD,good,no,2.0,1 - 3 years,0.0,F,own,unskilled,73.0,bank,3.0,yes,furniture,BA,500 - 1000 USD,single,15.0,00610
40.0,829.0,1 - 200 USD,excellent,no,2.0,1 - 3 years,2.0,F,own,skilled,14.0,stores,24.0,no,education,BA,>1000 USD,single,12.0,00610
65.0,3240.0,unknown,good,no,2.0,> 7 years,2.0,M,other,skilled,47.0,stores,18.0,yes,education,SA,500 - 1000 USD,single,11.0,00605
74.0,8899.0,1 - 200 USD,no credit,no,2.0,< 1 year,3.0,M,other,management,18.0,bank,16.0,no,car,SA,< 100 USD,married,23.0,00610
23.0,883.0,>= 200 USD,excellent,yes,2.0,unknown,2.0,F,other,none,73.0,bank,8.0,yes,car,BA,100 - 500 USD,divorced,8.0,00603
74.0,8148.0,< 0 USD,bad,no,2.0,> 7 years,0.0,F,own,management,71.0,bank,11.0,yes,other,CA,100 - 500 USD,divorced,16.0,00705
70.0,6187.0,>= 200 USD,bad,yes,2.0,> 7 years,3.0,F,own,management,27.0,bank,12.0,no,business,AA,>1000 USD,married,12.0,00601
80.0,2726.0,unknown,good,no,2.0,3 - 5 years,1.0,F,other,skilled,60.0,bank,19.0,yes,furniture,CA,unknown,married,20.0,00604
46.0,672.0,1 - 200 USD,critical,yes,3.0,1 - 3 years,1.0,M,other,skilled,44.0,stores,14.0,yes,education,SA,100 - 500 USD,divorced,19.0,00603
43.0,6628.0,1 - 200 USD,critical,no,3.0,3 - 5 years,0.0,F,rent,skilled,20.0,none,2.0,no,education,CA,>1000 USD,married,18.0,00605
63.0,7864.0,unknown,no credit,yes,1.0,1 - 3 years,3.0,F,other,unskilled,43.0,bank,13.0,no,car,BA,unknown,married,7.0,00605
49.0,2830.0,< 0 USD,bad,yes,3.0,< 1 year,2.0,M,rent,management,19.0,stores,3.0,no,education,AA,< 100 USD,divorced,8.0,00605
32.0,260.0,1 - 200 USD,good,yes,1.0,3 - 5 years,3.0,M,own,unskilled,65.0,none,13.0,no,car,BA,>1000 USD,divorced,20.0,00602
79.0,3367.0,>= 200 USD,no credit,no,1.0,> 7 years,1.0,F,own,none,20.0,stores,3.0,yes,car,BA,>1000 USD,married,17.0,00601
27.0,9873.0,>= 200 USD,bad,yes,1.0,unknown,3.0,F,other,management,74.0,none,9.0,no,business,CA,>1000 USD,married,18.0,00603
33.0,1334.0,>= 200 USD,excellent,no,3.0,3 - 5 years,3.0,M,other,unskilled,59.0,none,19.0,yes,business,CA,>1000 USD,divorced,7.0,00611
80.0,7281.0,>= 200 USD,critical,yes,3.0,unknown,3.0,F,own,unskilled,25.0,bank,21.0,yes,other,CA,>1000 USD,single,6.0,00605
68.0,750.0,1 - 200 USD,critical,yes,3.0,> 7 years,3.0,M,own,unskilled,18.0,bank,6.0,no,furniture,AA,500 - 1000 USD,single,9.0,00631
44.0,3093.0,unknown,critical,yes,1.0,unknown,2.0,M,own,management,31.0,stores,8.0,yes,car,BA,500 - 1000 USD,divorced,9.0,00611
76.0,347.0,1 - 200 USD,no credit,no,2.0,> 7 years,0.0,F,rent,none,16.0,none,1.0,no,education,CA,>1000 USD,single,24.0,00610
49.0,4519.0,>= 200 USD,bad,yes,3.0,< 1 year,1.0,M,own,skilled,5.0,none,1.0,no,furniture,SA,unknown,married,8.0,00604
44.0,1887.0,1 - 200 USD,good,no,1.0,1 - 3 years,3.0,M,own,management,63.0,none,22.0,no,education,BA,>1000 USD,single,7.0,00604
32.0,2615.0,1 - 200 USD,good,yes,3.0,> 7 years,0.0,F,own,unskilled,26.0,none,14.0,no,furniture,SA,unknown,divorced,19.0,00611
23.0,4498.0,1 - 200 USD,no credit,no,3.0,1 - 3 years,2.0,F,other,skilled,24.0,none,6.0,no,business,BA,unknown,single,20.0,00610
85.0,7407.0,< 0 USD,good,no,2.0,< 1 year,2.0,F,own,unskilled,64.0,stores,5.0,yes,furniture,BA,>1000 USD,married,4.0,00605
44.0,857.0,< 0 USD,no credit,yes,1.0,3 - 5 years,2.0,F,other,management,29.0,stores,22.0,yes,car,CA,100 - 500 USD,married,17.0,00612
44.0,1655.0,>= 200 USD,no credit,yes,1.0,< 1 year,2.0,F,rent,none,67.0,none,20.0,no,car,CA,< 100 USD,divorced,8.0,00601
25.0,7806.0,1 - 200 USD,bad,no,3.0,< 1 year,0.0,M,rent,none,70.0,stores,19.0,yes,car,BA,>1000 USD,divorced,19.0,00610
78.0,2108.0,< 0 USD,excellent,yes,1.0,unknown,3.0,F,rent,unskilled,73.0,none,1.0,no,car,CA,< 100 USD,divorced,13.0,00602
46.0,4312.0,unknown,excellent,no,2.0,1 - 3 years,2.0,M,own,skilled,28.0,bank,4.0,no,car,BA,unknown,divorced,18.0,00603
47.0,1267.0,>= 200 USD,no credit,no,2.0,unknown,0.0,F,rent,none,12.0,stores,18.0,yes,education,AA,>1000 USD,divorced,18.0,00705
65.0,6181.0,unknown,bad,no,1.0,unknown,1.0,M,rent,none,44.0,stores,16.0,no,furniture,CA,100 - 500 USD,divorced,15.0,00610
75.0,670.0,< 0 USD,critical,yes,3.0,unknown,3.0,F,other,skilled,23.0,none,17.0,no,business,CA,unknown,divorced,11.0,00602
59.0,1848.0,unknown,no credit,yes,3.0,< 1 year,2.0,F,other,skilled,4.0,stores,15.0,no,other,SA,500 - 1000 USD,divorced,15.0,00631
31.0,1073.0,>= 200 USD,critical,yes,2.0,1 - 3 years,1.0,F,own,management,74.0,bank,19.0,yes,business,CA,unknown,single,13.0,00631
80.0,8832.0,unknown,good,no,3.0,< 1 year,2.0,M,rent,skilled,5.0,none,25.0,no,car,CA,unknown,married,10.0,00604
58.0,3466.0,>= 200 USD,good,no,1.0,1 - 3 years,2.0,F,own,management,49.0,bank,25.0,yes,education,BA,< 100 USD,married,2.0,00605
48.0,4794.0,unknown,critical,no,3.0,1 - 3 years,0.0,M,other,management,60.0,bank,16.0,yes,business,AA,500 - 1000 USD,married,3.0,00605
18.0,3102.0,>= 200 USD,excellent,no,3.0,1 - 3 years,2.0,F,other,unskilled,75.0,bank,17.0,yes,furniture,SA,>1000 USD,single,20.0,00611
67.0,7461.0,>= 200 USD,excellent,yes,3.0,> 7 years,2.0,M,rent,skilled,35.0,bank,11.0,yes,other,SA,< 100 USD,married,12.0,00631
63.0,3549.0,< 0 USD,critical,no,1.0,unknown,0.0,M,own,skilled,7.0,none,6.0,no,furniture,CA,< 100 USD,divorced,11.0,00610
60.0,1690.0,1 - 200 USD,excellent,no,2.0,< 1 year,1.0,F,rent,unskilled,41.0,bank,2.0,yes,furniture,AA,< 100 USD,divorced,9.0,00603
20.0,5150.0,unknown,excellent,yes,1.0,1 - 3 years,1.0,F,own,skilled,64.0,none,18.0,yes,furniture,AA,100 - 500 USD,divorced,16.0,00610
78.0,3615.0,unknown,bad,no,1.0,> 7 years,2.0,F,other,skilled,31.0,stores,24.0,yes,car,BA,100 - 500 USD,married,18.0,00605
18.0,223.0,>= 200 USD,no credit,yes,3.0,1 - 3 years,3.0,F,other,skilled,46.0,bank,15.0,yes,furniture,BA,unknown,divorced,1.0,00611
25.0,5220.0,1 - 200 USD,good,yes,3.0,unknown,2.0,F,rent,none,63.0,bank,14.0,no,furniture,SA,< 100 USD,divorced,4.0,00601
51.0,6687.0,< 0 USD,bad,no,2.0,< 1 year,1.0,M,other,none,49.0,bank,12.0,yes,furniture,BA,>1000 USD,married,11.0,00602
18.0,1062.0,< 0 USD,no credit,no,3.0,1 - 3 years,0.0,M,other,none,51.0,stores,19.0,no,business,SA,< 100 USD,married,22.0,00705
33.0,230.0,unknown,good,no,3.0,1 - 3 years,3.0,F,other,unskilled,4.0,bank,9.0,no,other,AA,unknown,single,25.0,00605
57.0,5951.0,< 0 USD,no credit,no,3.0,< 1 year,3.0,F,own,skilled,26.0,none,19.0,yes,furniture,CA,>1000 USD,married,8.0,00611
18.0,3163.0,< 0 USD,good,yes,3.0,1 - 3 years,2.0,M,other,unskilled,74.0,stores,15.0,yes,business,CA,>1000 USD,divorced,1.0,00610
37.0,7960.0,>= 200 USD,excellent,no,1.0,< 1 year,2.0,F,rent,skilled,6.0,none,24.0,yes,furniture,AA,unknown,single,10.0,00705
43.0,3033.0,< 0 USD,excellent,no,3.0,> 7 years,3.0,M,other,skilled,37.0,bank,6.0,yes,education,CA,>1000 USD,married,4.0,00612
79.0,6318.0,>= 200 USD,no credit,no,3.0,1 - 3 years,0.0,F,rent,unskilled,16.0,bank,14.0,yes,education,BA,100 - 500 USD,divorced,14.0,00601
18.0,3389.0,unknown,good,yes,2.0,3 - 5 years,3.0,F,own,unskilled,70.0,bank,4.0,yes,other,AA,>1000 USD,single,22.0,00611
28.0,142.0,1 - 200 USD,excellent,yes,3.0,1 - 3 years,1.0,F,own,none,37.0,bank,6.0,yes,furniture,SA,>1000 USD,single,14.0,00601
48.0,3278.0,< 0 USD,bad,no,3.0,< 1 year,1.0,M,other,management,66.0,stores,6.0,no,other,AA,>1000 USD,divorced,7.0,00612
31.0,3733.0,unknown,excellent,yes,3.0,unknown,1.0,F,own,skilled,60.0,stores,21.0,yes,education,CA,>1000 USD,married,21.0,00601
45.0,2588.0,< 0 USD,critical,no,2.0,> 7 years,1.0,M,rent,management,65.0,none,21.0,no,other,SA,< 100 USD,married,19.0,00601
55.0,2519.0,1 - 200 USD,good,yes,2.0,< 1 year,3.0,F,own,none,42.0,none,14.0,no,furniture,SA,>1000 USD,divorced,21.0,00603
56.0,344.0,>= 200 USD,bad,yes,2.0,> 7 years,0.0,F,other,skilled,15.0,bank,1.0,yes,business,SA,>1000 USD,divorced,25.0,00705
33.0,6255.0,1 - 200 USD,bad,no,1.0,1 - 3 years,2.0,F,own,management,22.0,stores,8.0,yes,education,AA,< 100 USD,single,17.0,00603
19.0,2556.0,unknown,good,no,2.0,unknown,0.0,M,other,skilled,8.0,stores,4.0,yes,business,AA,100 - 500 USD,married,18.0,00602
77.0,4428.0,unknown,excellent,no,3.0,unknown,3.0,F,own,management,55.0,none,10.0,yes,education,BA,>1000 USD,single,4.0,00611
67.0,9958.0,1 - 200 USD,good,yes,3.0,1 - 3 years,3.0,F,rent,skilled,40.0,bank,10.0,no,car,CA,>1000 USD,married,4.0,00612
23.0,8355.0,< 0 USD,critical,no,2.0,1 - 3 years,3.0,M,rent,none,23.0,none,2.0,yes,car,AA,500 - 1000 USD,married,18.0,00602
28.0,7571.0,1 - 200 USD,no credit,no,1.0,> 7 years,3.0,F,rent,unskilled,43.0,none,8.0,yes,furniture,CA,< 100 USD,divorced,16.0,00604
73.0,3656.0,1 - 200 USD,bad,yes,1.0,unknown,2.0,M,other,management,58.0,none,13.0,yes,business,AA,100 - 500 USD,married,19.0,00602
31.0,5838.0,>= 200 USD,bad,yes,2.0,> 7 years,1.0,M,rent,skilled,65.0,stores,25.0,no,furniture,CA,500 - 1000 USD,divorced,15.0,00602
29.0,8669.0,< 0 USD,excellent,no,2.0,< 1 year,3.0,M,own,none,27.0,stores,8.0,yes,car,CA,500 - 1000 USD,divorced,2.0,00705
20.0,1743.0,unknown,no credit,no,1.0,> 7 years,3.0,M,other,none,68.0,stores,18.0,no,other,SA,100 - 500 USD,divorced,19.0,00602
43.0,3632.0,< 0 USD,critical,yes,2.0,unknown,1.0,M,other,skilled,73.0,bank,3.0,no,car,BA,unknown,single,18.0,00604
75.0,1062.0,>= 200 USD,good,no,2.0,1 - 3 years,1.0,M,rent,unskilled,13.0,none,5.0,yes,other,SA,unknown,married,13.0,00631
84.0,3764.0,< 0 USD,good,no,2.0,3 - 5 years,3.0,M,rent,unskilled,11.0,none,8.0,no,education,CA,500 - 1000 USD,single,2.0,00604
23.0,1755.0,1 - 200 USD,critical,no,1.0,unknown,2.0,M,own,skilled,14.0,bank,2.0,no,business,CA,< 100 USD,divorced,24.0,00603
49.0,756.0,>= 200 USD,excellent,no,1.0,3 - 5 years,1.0,M,own,management,19.0,bank,15.0,yes,other,CA,< 100 USD,divorced,1.0,00611
29.0,7231.0,1 - 200 USD,critical,yes,2.0,> 7 years,2.0,F,rent,management,34.0,stores,9.0,yes,car,AA,500 - 1000 USD,single,1.0,00631
35.0,4354.0,>= 200 USD,no credit,yes,2.0,3 - 5 years,3.0,M,rent,management,23.0,bank,20.0,no,business,CA,500 - 1000 USD,single,15.0,00605
81.0,6189.0,< 0 USD,no credit,no,2.0,> 7 years,3.0,F,other,management,42.0,bank,7.0,yes,furniture,BA,unknown,divorced,17.0,00612
47.0,7848.0,1 - 200 USD,good,no,2.0,unknown,1.0,F,rent,management,45.0,none,16.0,no,car,CA,< 100 USD,married,25.0,00705
66.0,1691.0,< 0 USD,good,no,1.0,unknown,0.0,F,own,management,73.0,stores,9.0,no,business,CA,500 - 1000 USD,married,11.0,00601
39.0,5098.0,1 - 200 USD,no credit,no,1.0,> 7 years,1.0,M,rent,management,21.0,stores,1.0,no,car,BA,< 100 USD,single,7.0,00705
26.0,6750.0,1 - 200 USD,good,yes,3.0,< 1 year,2.0,M,own,unskilled,36.0,none,23.0,no,business,BA,>1000 USD,married,22.0,00604
70.0,6439.0,unknown,bad,no,1.0,unknown,3.0,M,own,skilled,72.0,bank,3.0,no,car,CA,unknown,married,17.0,00601
80.0,8623.0,1 - 200 USD,good,yes,1.0,3 - 5 years,1.0,M,rent,none,71.0,stores,23.0,yes,furniture,AA,100 - 500 USD,divorced,2.0,00601
47.0,3393.0,< 0 USD,no credit,yes,2.0,1 - 3 years,0.0,M,own,unskilled,3.0,bank,25.0,no,car,CA,< 100 USD,divorced,15.0,00604
21.0,4076.0,>= 200 USD,bad,yes,1.0,unknown,1.0,M,rent,management,58.0,none,15.0,yes,furniture,CA,< 100 USD,single,20.0,00610
72.0,1448.0,unknown,good,yes,1.0,3 - 5 years,3.0,M,rent,management,29.0,stores,16.0,no,furniture,BA,100 - 500 USD,married,17.0,00603
75.0,7810.0,< 0 USD,bad,no,3.0,> 7 years,0.0,F,other,skilled,48.0,none,4.0,no,car,SA,unknown,divorced,2.0,00603
60.0,1106.0,>= 200 USD,good,no,3.0,> 7 years,3.0,F,other,skilled,29.0,stores,22.0,yes,car,BA,100 - 500 USD,divorced,15.0,00611
77.0,4293.0,1 - 200 USD,good,yes,2.0,> 7 years,3.0,F,rent,skilled,25.0,bank,7.0,no,education,BA,unknown,single,13.0,00612
25.0,3851.0,>= 200 USD,excellent,yes,1.0,3 - 5 years,3.0,F,rent,skilled,59.0,none,13.0,yes,education,CA,unknown,single,4.0,00610
24.0,9217.0,1 - 200 USD,bad,no,1.0,< 1 year,2.0,F,other,management,64.0,bank,12.0,no,furniture,SA,>1000 USD,single,17.0,00604
77.0,7160.0,unknown,good,yes,2.0,1 - 3 years,3.0,F,other,none,46.0,none,4.0,yes,car,SA,100 - 500 USD,single,25.0,00605
38.0,358.0,1 - 200 USD,good,no,2.0,1 - 3 years,1.0,M,rent,unskilled,75.0,bank,22.0,yes,business,BA,100 - 500 USD,single,14.0,00610
44.0,3220.0,1 - 200 USD,critical,no,1.0,unknown,2.0,F,rent,skilled,29.0,none,20.0,yes,other,AA,unknown,divorced,22.0,00605
